Chapter/heading/ sub-heading,Description,Product Specific Rule of Origin,needs_manual_check
86.06,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds","A change to heading 86.06 from any other heading, except from heading 86.07; or A change to heading 86.06 from heading 86.07, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used. 86.07.11–86.07.12  A change to subheading 86.07.11 through 86.07.12 from any subheading outside that group.",0
86.07.19.aa,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds","A change to tariff item 86.07.19.aa from any other heading; or A change to tariff item 86.07.19.aa from tariff item 86.07.19.bb, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
86.07.19.cc,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds","A change to tariff item 86.07.19.cc from any other heading; or A change to tariff item 86.07.19.cc from tariff item 86.07.19.dd, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
86.07.19,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds",A change to subheading 86.07.19 from any other heading,0
86.07.21-86.07.99,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds",A change to subheading 86.07.21 through 86.07.99 from any other heading,0
86.08-86.09,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds","A change to heading 86.08 through 86.09 from any other heading, including another heading within that group",0
Chapter 87,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof",,0
87.01,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to heading 87.01 from any other heading, provided there is a regional value content of not less than: (a) 30 per cent where the transaction value method is used, or (b) 20 per cent where the net cost method is used.",0
87.02,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to heading 87.02 from any other heading, provided there is a regional value content of not less than: (a) 30 per cent where the transaction value method is used, or (b) 20 per cent where the net cost method is used.",0
87.03.10,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.03.10 from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
87.03.21-87.03.90,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.03.21 through 87.03.90 from any other heading, provided there is a regional value content of not less than: (a) 30 per cent where the transaction value method is used, or (b) 20 per cent where the net cost method is used.",0
87.04,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to heading 87.04 from any other heading, provided there is a regional value content of not less than: (a) 30 per cent where the transaction value method is used, or (b) 20 per cent where the net cost method is used.",0
87.05,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to heading 87.05 from any other heading, provided there is a regional value content of not less than: (a) 30 per cent where the transaction value method is used, or (b) 20 per cent where the net cost method is used.",0
87.06,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to heading 87.06 from any other heading, except from subheading 87.08.50, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.07,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to heading 87.07 from any other chapter; or A change to heading 87.07 from heading 87.08, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.10,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.08.10 from any other heading; or A change to subheading 87.08.10 from subheading 87.08.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.21,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.08.21 from any other heading; or A change to subheading 87.08.21 from subheading 87.08.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.29,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.08.29 from any other heading; or No required change in tariff classification to subheading 87.08.29, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.30,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to a mounted brake lining of subheading 87.08.30 from any other heading; A change to a mounted brake lining of subheading 87.08.30 from parts of a mounted brake lining, a brake or a servo-brake within that subheading or subheading 87.08.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used; A change to any other good of subheading 87.08.30 from any other heading; or A change to any other good of subheading 87.08.30 from a mounted brake lining or parts of a brake or a servo-brake within that subheading or subheading 87.08.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.40,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to a gear box of subheading 87.08.40 from any other heading; A change to a gear box of subheading 87.08.40 from within that subheading or subheading 87.08.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used; A change to any other good of subheading 87.08.40 from any other heading; or No required change in tariff classification to any other good of subheading 87.08.40, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.50,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to a drive-axle with differential, whether or not provided with other transmission components, for a vehicle of heading 87.03, of subheading 87.08.50 from any other heading, except from subheading 84.82.10 through 84.82.80; A change to a drive-axle with differential, whether or not provided with other transmission components, for a vehicle of heading 87.03, of subheading 87.08.50 from subheading 84.82.10 through 84.82.80 or parts of a drive-axle of subheading 87.08.50, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used; A change to any other drive-axle with differential, whether or not provided with other transmission components, of subheading 87.08.50 from any other heading; A change to any other drive-axle with differential, whether or not provided with other transmission components, of subheading 87.08.50 from subheading 87.08.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used; A change to a non-driving axle and parts thereof, for a vehicle of heading 87.03, of subheading 87.08.50 from any other heading, except from subheading 84.82.10 through 84.82.80; A change to a non-driving axle and parts thereof, for a vehicle of heading 87.03, of subheading 87.08.50 from subheading 84.82.10 through 84.82.80 or 87.08.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used; A change to any other non-driving axle and parts thereof of subheading 87.08.50 from any other heading; or A change to any other non-driving axle and parts thereof of subheading 87.08.50 from subheading 87.08.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used; A change to any other good of subheading 87.08.50 from any other heading; or No required change in tariff classification to any other good of subheading 87.08.50, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.70,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.08.70 from any other heading; or A change to subheading 87.08.70 from subheading 87.08.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.80,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.08.80 from any other heading; A change to a suspension system (including a shock absorber) of subheading 87.08.80 from parts thereof within that subheading or subheading 87.08.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used; or No required change in tariff classification to parts of a suspension system (including a shock absorber) of subheading 87.08.80, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.91,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.08.91 from any other heading; or No required change in tariff classification to subheading 87.08.91, provided there is a regional value content of not less than : (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.92,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to a silencer (muffler) or exhaust pipe of subheading 87.08.92 from any other heading; A change to a silencer (muffler) or exhaust pipe of subheading 87.08.92 from within that subheading, whether or not there is also a change from any other heading, provided there is regional value content of not less than : (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used; or No required change in tariff classification to any other good of subheading 87.08.92, provided there is a regional value content of not less : (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.93,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.08.93 from any other heading; or A change to subheading 87.08.93 from subheading 87.08.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.94,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.08.94 from any other heading; A change to a steering wheel, steering column or steering box of subheading 87.08.94 from parts thereof within that subheading or subheading 87.08.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than : (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used; or No required change in tariff classification to parts of a steering wheel, steering column or steering box of subheading 87.08.94, provided there is a regional value content of not less than : (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.95,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.08.95 from any other heading; or No required change in tariff classification to subheading 87.08.95, provided there is a regional value content of not less than : (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.99.aa,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to tariff item 87.08.99.aa from any other subheading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.08.99.bb,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to tariff item 87.08.99.bb from any other heading, except from subheading 84.82.10 through 84.82.80 or tariff item 84.82.99.aa; or A change to tariff item 87.08.99.bb from subheading 84.82.10 through 84.82.80 or tariff item 84.82.99.aa, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is us",0
87.08.99,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.08.99 from any other heading; or No required change in tariff classification to subheading 87.08.99, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
87.09.11-87.09.19,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.09.11 through 87.09.19 from any other heading; or A change to subheading 87.09.11 through 87.09.19 from subheading 87.09.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
87.09.90,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof",A change to subheading 87.09.90 from any other heading,0
87.10,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof",A change to heading 87.10 from any other heading,0
87.11-87.13,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to heading 87.11 through 87.13 from any other heading, including another heading within that group, except from heading 87.14; or A change to heading 87.11 through 87.13 from heading 87.14, whether or not there is also a change from any other heading, including another heading within that group, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
87.14-87.15,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to heading 87.14 through 87.15 from any other heading, including another heading within that group",0
87.16.10-87.16.80,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof","A change to subheading 87.16.10 through 87.16.80 from any other heading; or A change to subheading 87.16.10 through 87.16.80 from subheading 87.16.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
87.16.90,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof",A change to subheading 87.16.90 from any other heading,0
Chapter 88,"Aircraft, Spacecraft, and Parts Thereof",,0
88.01,"Aircraft, Spacecraft, and Parts Thereof",A change to a glider or hang glider of heading 88.01 from within that heading or any other heading; or A change to any other good of heading 88.01 from a glider or hang glider within that heading or any other heading.,0
88.02.11-88.03.90,"Aircraft, Spacecraft, and Parts Thereof","A change to subheading 88.02.11 through 88.03.90 from any other subheading, including another subheading within that group",0
88.04-88.05,"Aircraft, Spacecraft, and Parts Thereof","A change to heading 88.04 through 88.05 from any other heading, including another heading within that group",0
Chapter 89,"Ships, Boats and Floating Structures",,0
89.01-89.02,"Ships, Boats and Floating Structures","A change to heading 89.01 through 89.02 from any other chapter; or A change to heading 89.01 through 89.02 from any other heading within Chapter 89, including another heading within that group, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 60 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
89.03,"Ships, Boats and Floating Structures","A change to heading 89.03 from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
89.04-89.05,"Ships, Boats and Floating Structures","A change to heading 89.04 through 89.05 from any other chapter; or A change to heading 89.04 through 89.05 from any other heading within Chapter 89, including another heading within that group, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 60 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
89.06-89.08,"Ships, Boats and Floating Structures","A change to heading 89.06 through 89.08 from any other heading, including another heading within that group",0
Chapter 90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",,0
90.01.10,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.01.10 from any other chapter, except from subheading 85.44.70",0
90.01.20-90.01.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.01.20 through 90.01.90 from any other heading,0
90.02,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to heading 90.02 from any other heading, except from heading 90.01",0
90.03.11-90.03.19,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.03.11 through 90.03.19 from any subheading outside that group,0
90.03.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.03.90 from any other heading,0
90.04,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to heading 90.04 from any other heading,0
90.05.10-90.05.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.05.10 through 90.05.80 from any subheading outside that group,0
90.05.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.05.90 from any other heading,0
90.06.10-90.06.69,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.06.10 through 90.06.69 from any subheading outside that group,0
90.06.91-90.06.99,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.06.91 through 90.06.99 from any other heading,0
90.07.10,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to a gyrostabilized camera of subheading 90.07.10 from within that subheading or any other subheading; A change to any other good of subheading 90.07.10 from any other subheading, except from subheading 90.07.20.",0
90.07.19,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.07.19 from any other subheading, except from subheading 90.07.11 or 90.07.20",0
90.07.20,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.07.20 from any other subheading, except from subheading 90.07.11 through 90.07.19",0
90.07.91,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.07.91 from any other heading,0
90.07.92,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.07.92 from any other heading; or No required change in tariff classification to subheading 90.07.92, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.08.50,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.08.50 from any other subheading,0
90.08.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.08.90 from any other heading,0
90.10.10-90.10.60,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.10.10 through 90.10.60 from any subheading outside that group,0
90.10.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.10.90 from any other heading,0
90.11.10-90.11.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.11.10 through 90.11.80 from any subheading outside that group,0
90.11.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.11.90 from any other heading,0
90.12.10,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.12.10 from any other subheading,0
90.12.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.12.90 from any other heading,0
90.13.10-90.13.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.13.10 through 90.13.80 from any subheading outside that group,0
90.13.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.13.90 from any other heading,0
90.14.10-90.14.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.14.10 through 90.14.80 from any subheading outside that group,0
90.14.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.14.90 from any other heading,0
90.15.10-90.15.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.15.10 through 90.15.80 from any subheading outside that group,0
90.15.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.15.90 from any other heading; or No required change in tariff classification to subheading 90.15.90, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.16,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to heading 90.16 from any other heading,0
90.17.10-90.17.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.17.10 through 90.17.80 from any other heading; or A change to subheading 90.17.10 through 90.17.80 from subheading 90.17.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 40 per cent where the transaction value method is used, or (b) 30 per cent where the net cost method is used.",0
90.17.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.17.90 from any other heading,0
90.18.11.aa,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to tariff item 90.18.11.aa from any other tariff item,0
90.18.11,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.18.11 from any other heading,0
90.18.12-90.18.14,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.18.12 through 90.18.14 from any other heading,0
90.18.19.aa,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to tariff item 90.18.19.aa from any other tariff item,0
90.18.19,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.18.19 from any other heading,0
90.18.20-90.18.50,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.18.20 through 90.18.50 from any other heading,0
90.18.90.aa,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to tariff item 90.18.90.aa from any other tariff item,0
90.18.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.18.90 from any other heading,0
90.19-90.21,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to heading 90.19 through 90.21 from any heading outside that group,0
90.22.12-90.22.30,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.22.12 through 90.22.30 from any subheading outside that group,0
90.22.90.aa,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to tariff item 90.22.90.aa from any other tariff item,0
90.22.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.22.90 from any other heading; or No required change in tariff classification to subheading 90.22.90, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.23,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to heading 90.23 from any other heading,0
90.24.10-90.24.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.24.10 through 90.24.80 from any other heading; or A change to subheading 90.24.10 through 90.24.80 from subheading 90.24.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.24.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.24.90 from any other heading,0
90.25.11-90.25.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.25.11 through 90.25.80 from any other heading; or A change to subheading 90.25.11 through 90.25.80 from subheading 90.25.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.25.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.25.90 from any other heading,0
90.26.10-90.26.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.26.10 through 90.26.80 from any other heading; or A change to subheading 90.26.10 through 90.26.80 from subheading 90.26.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.26.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.26.90 from any other heading,0
90.27.10,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.27.10 from any other heading; or A change to subheading 90.27.10 from subheading 90.27.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
90.27.20,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.27.20 from any other subheading, except from subheading 90.27.10 or 90.27.30 through 90.27.80",0
90.27.30,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.27.30 from any other subheading, except from subheading 90.27.10 through 90.27.20 or 90.27.40 through 90.27.80",0
90.27.50,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.27.50 from any other heading; or A change to subheading 90.27.50 from subheading 90.27.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
