Chapter/heading/ sub-heading,Description,main_rule,alt_rule,alt_rule_2,flag
86.07.19,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds",A change to subheading 86.07.19 from any other heading,,,0
86.07.21,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds",A change to subheading 86.07.21 from any other heading,"No required change in tariff classification to subheading 86.07.21, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
86.07.29,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds",A change to subheading 86.07.29 from any other heading,"No required change in tariff classification to subheading 86.07.29, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used, or (b) 50 percent where the net cost method is used. Note : Beginning on January 1, 2023 or three years after entry into force of this Agreement, whichever is later, and thereafter, the following rules of origin shall apply to subheading 86.07.29: A change to subheading 86.07.29 from any other heading, except from heading 72.08 through 72.29 or heading 73.01 through 73.26","A change to subheading 86.07.29 from heading 72.08 through 72.29 or 73.01 through 73.26, provided that at least 70 percent by weight of the materials of heading 72.08 through 72.29 and 73.01 through 73.26 is originating; or No required change in tariff classification to subheading 86.07.29 provided there is a regional value content of not less than: (a) 70 percent where the transaction value method is used; or (b) 60 percent where the net cost method is used.",1
86.07.30,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds",A change to subheading 86.07.30 from any other heading,"No required change in tariff classification to subheading 86.07.30, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
86.07.91,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds",A change to subheading 86.07.91 from any other heading,"No required change in tariff classification to subheading 86.07.91, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used, or (b) 50 percent where the net cost method is used. Note : Beginning on January 1, 2023 or three years after entry into force of this Agreement, whichever is later, and thereafter, the following rules of origin shall apply to subheading 86.07.91: A change to subheading 86.07.91 from any other heading, except from heading 72.08 through 72.29 or 73.01 through 73.26","A change to subheading 86.07.91 from heading 72.08 through 72.29 or 73.01 through 73.26, provided that at least 70 percent by weight of the materials of heading 72.08 through 72.29 and 73.01 through 73.26 is originating; or No required change in tariff classification to subheading 86.07.91 provided there is a regional value content of not less than: (a) 70 percent where the transaction value method is used; or (b) 60 percent where the net cost method is used.",1
86.07.99,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds",A change to subheading 86.07.99 from any other heading,"No required change in tariff classification to subheading 86.07.99, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
86.08,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds",A change to heading 86.08 from any other heading,,,0
86.09,"Railway or Tramway Locomotives, Rolling-Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electro-Mechanical) Traffic Signalling Equipment of all Kinds","A change to heading 86.09 from any other heading Note : Beginning on January 1, 2023, or three years after entry into force of this Agreement, whichever is later, and thereafter, the following rules of origin shall apply to heading 86.09: A change to heading 86.09 from any other heading, except from heading 72.08 through 72.29 or 73.01 through 73.26","A change to heading 86.09 from heading 72.08 through 72.29 or 73.01 through 73.26, provided that at least 70 percent by weight of the materials of heading 72.08 through 72.29 and 73.01 through 73.26 is originating",No required change in tariff classification to heading 86.09 is required provided there is a regional value content of not less than: (a) 70 percent where the transaction value method is used; or (b) 60 percent where the net cost method is used,1
Chapter 87,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories Thereof",,,,0
87.09.11-87.09.19,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories Thereof",A change to subheading 87.09.11 through 87.09.19 from any other heading,"A change to subheading 87.09.11 through 87.09.19 from subheading 87.09.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
87.09.90,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories Thereof",A change to subheading 87.09.90 from any other heading,,,0
87.10,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories Thereof",A change to heading 87.10 from any other heading,,,0
87.11-87.13,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories Thereof","A change to heading 87.11 through 87.13 from any other heading, including another heading within that group, except from heading 87.14","A change to heading 87.11 through 87.13 from heading 87.14, whether or not there is also a change from any other heading, including another heading within that group, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
87.14-87.15,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories Thereof","A change to heading 87.14 through 87.15 from any other heading, including another heading within that group",,,0
87.16.10-87.16.80,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories Thereof",A change to subheading 87.16.10 through 87.16.80 from any other heading,"A change to subheading 87.16.10 through 87.16.80 from subheading 87.16.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
87.16.90,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories Thereof",A change to subheading 87.16.90 from any other heading,"No required change in tariff classification to subheading 87.16.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
Chapter 88,"Aircraft, Spacecraft, and Parts Thereof",,,,0
88.01,"Aircraft, Spacecraft, and Parts Thereof",A change to gliders or hang gliders of heading 88.01 from any other good of heading 88.01 or any other heading,A change to any other good of heading 88.01 from gliders or hang gliders of heading 88.01 or any other heading.,,0
88.02.11-88.03.90,"Aircraft, Spacecraft, and Parts Thereof","A change to subheading 88.02.11 through 88.03.90 from any other subheading, including another subheading within that group",,,0
88.04-88.05,"Aircraft, Spacecraft, and Parts Thereof","A change to heading 88.04 through 88.05 from any other heading, including another heading within that group",,,0
Chapter 89,"Ships, Boats and Floating Structures",,,,0
89.01-89.02,"Ships, Boats and Floating Structures",A change to heading 89.01 through 89.02 from any other chapter,"A change to heading 89.01 through 89.02 from any other heading within Chapter 89, including another heading within that group, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
89.03,"Ships, Boats and Floating Structures","A change to heading 89.03 from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,,0
89.04-89.05,"Ships, Boats and Floating Structures",A change to heading 89.04 through 89.05 from any other chapter,"A change to heading 89.04 through 89.05 from any other heading within Chapter 89, including another heading within that group, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
89.06-89.08,"Ships, Boats and Floating Structures","A change to heading 89.06 through 89.08 from any other heading, including another heading within that group",,,0
Chapter 90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",,,,0
90.01.10,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.01.10 from any other chapter, except from pre-forms of heading 70.02","A change to subheading 90.01.10 from any other good of heading 70.02 except pre-forms, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.01.20-90.01.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.01.20 through 90.01.90 from any other heading,,,0
90.02,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to heading 90.02 from any other heading, except from heading 90.01",,,0
90.03.11-90.03.19,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.03.11 through 90.03.19 from any other subheading, including another subheading within that group, except from subheading 90.03.90","A change to subheading 90.03.11 through 90.03.19 from subheading 90.03.90, whether or not there is also a change from any other subheading, including another subheading within that group, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.03.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.03.90 from any other heading,,,0
90.04.10,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.04.10 from any other subheading,,,0
90.04.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.04.90 from any other chapter,"A change to subheading 90.04.90 from any other heading within Chapter 90, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.05.10-90.05.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.05.10 through 90.05.80 from any subheading outside that group, except from heading 90.01 through 90.02 or tariff item 90.05.90.aa",,,0
90.05.90.aa,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to tariff item 90.05.90.aa from any other heading, except from heading 90.01 through 90.02",,,0
90.05.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.05.90 from any other heading,"No required change in tariff classification to subheading 90.05.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.06.10-90.06.69,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.06.10 through 90.06.69 from any other heading,"A change to subheading 90.06.10 through 90.06.69 from subheading 90.06.91 or 90.06.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.06.91-90.06.99,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.06.91 through 90.06.99 from any other heading,"A change to a good of any of subheading 90.06.91 through 90.06.99 from within that subheading, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.07.10,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to gyrostabilized cameras of subheading 90.07.10 from any other good within that subheading or any other subheading,A change to any other good of subheading 90.07.10 from any other heading,"A change to any other good of subheading 90.07.10 from subheading 90.07.91, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used, or (b) 50 percent where the net cost method is used.",1
90.07.20,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.07.20 from any other heading,"A change to subheading 90.07.20 from subheading 90.07.92, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost is used.",,0
90.07.91,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.07.91 from any other heading,"No required change in tariff classification to subheading 90.07.91, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.07.92,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.07.92 from any other heading,"No required change in tariff classification to subheading 90.07.92, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.08.50,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.08.50 from any other heading,"A change to subheading 90.08.50 from subheading 90.08.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.08.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.08.90 from any other heading,"No required change in tariff classification to subheading 90.08.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.10.10-90.10.60,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.10.10 through 90.10.60 from any other heading,"A change to subheading 90.10.10 through 90.10.60 from subheading 90.10.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.10.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.10.90 from any other heading,"No required change in tariff classification to subheading 90.10.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.11.10-90.11.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.11.10 through 90.11.80 from any other heading,"A change to subheading 90.11.10 through 90.11.80 from subheading 90.11.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.11.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.11.90 from any other heading,,,0
90.12.10,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.12.10 from any other heading,"A change to subheading 90.12.10 from subheading 90.12.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.12.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.12.90 from any other heading,,,0
90.13.10-90.13.20,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.13.10 through 90.13.20 from any other heading,"A change to subheading 90.13.10 through 90.13.20 from subheading 90.13.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.13.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to Liquid Crystal Display Assemblies of subheading 90.13.80 from any other subheading; No required tariff change to Liquid Crystal Display Assemblies of subheading 90.13.80 provided there is a regional value content of not less than: (a) 40 percent where the transaction value method is used; or (b) 30 percent where the net cost method is used,A change to any other good of subheading 90.13.80 from any other heading; or No required tariff change to any other good of subheading 90.13.80 provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.,,0
90.13.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.13.90 from any other heading,"No required change in tariff classification to subheading 90.13.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.14.10-90.14.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.14.10 through 90.14.80 from any other heading,"A change to subheading 90.14.10 through 90.14.80 from subheading 90.14.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.14.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.14.90 from any other heading,"No required change in tariff classification to subheading 90.14.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.15.10-90.15.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.15.10 through 90.15.80 from any other heading,"A change to subheading 90.15.10 through 90.15.80 from subheading 90.15.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.15.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.15.90 from any other heading,"No required change in tariff classification to subheading 90.15.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.16,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to heading 90.16 from any other heading,,,0
90.17.10-90.17.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.17.10 through 90.17.80 from any other heading,"A change to subheading 90.17.10 through 90.17.80 from subheading 90.17.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.17.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.17.90 from any other heading,,,0
90.18.11.aa,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to tariff item 90.18.11.aa from any other tariff item, except from tariff item 90.18.11.bb",,,0
90.18.11,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.18.11 from any other heading,,,0
90.18.12-90.18.14,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.18.12 through 90.18.14 from any other heading,,,0
90.18.19.aa,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to tariff item 90.18.19.aa from any other tariff item, except from tariff item 90.18.19.bb",,,0
90.18.19,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.18.19 from any other heading,,,0
90.18.20-90.18.50,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.18.20 through 90.18.50 from any other heading,,,0
90.18.90.aa,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to tariff item 90.18.90.aa from any other tariff item, except from tariff item 90.18.90.bb",,,0
90.18.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.18.90 from any other heading,,,0
90.19.10-90.19.20,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.19.10 through 90.19.20 from any other subheading, including another subheading within that group","No required change in tariff classification to any of subheading 90.19.10 through 90.19.20, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.20,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to heading 90.20 from any other heading,,,0
90.21.10-90.21.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.21.10 through 90.21.90 from any other subheading, including another subheading within that group","No required change in tariff classification to any of subheading 90.21.10 through 90.21.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.22.12-90.22.30,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.22.12 through 90.22.30 from any other subheading, including another subheading within that group","No required change in tariff classification to any of subheading 90.22.12 through 90.22.30, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.22.90.aa,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to tariff item 90.22.90.aa from any other tariff item,,,0
90.22.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.22.90 from any other heading,"No required change in tariff classification to subheading 90.22.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.23,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to heading 90.23 from any other heading,,,0
90.24.10-90.24.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.24.10 through 90.24.80 from any other heading,"A change to subheading 90.24.10 through 90.24.80 from subheading 90.24.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.24.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.24.90 from any other heading,"No required change in tariff classification to subheading 90.24.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.25.11-90.25.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.25.11 through 90.25.80 from any other heading,"A change to subheading 90.25.11 through 90.25.80 from subheading 90.25.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 45 percent where the transaction value method is used; or (b) 35 percent where the net cost method is used.",,0
90.25.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.25.90 from any other heading,,,0
90.26.10-90.26.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.26.10 through 90.26.80 from any other heading,"A change to subheading 90.26.10 through 90.26.80 from subheading 90.26.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.26.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.26.90 from any other heading,"No required change in tariff classification to subheading 90.26.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.27.10-90.27.50,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof","A change to subheading 90.27.10 through 90.27.50 from any other subheading, including another subheading within that group",,,0
90.27.80,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to a good of subheading 90.27.80 from any other good within that subheading or any other subheading,,,0
90.27.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.27.90 from any other heading,"No required change in tariff classification to subheading 90.27.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.28.10-90.28.30,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.28.10 through 90.28.30 from any other heading,"A change to subheading 90.28.10 through 90.28.30 from subheading 90.28.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.28.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.28.90 from any other heading,,,0
90.29.10-90.29.20,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.29.10 through 90.29.20 from any other heading,"A change to subheading 90.29.10 through 90.29.20 from subheading 90.29.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.29.90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.29.90 from any other heading,"No required change in tariff classification to subheading 90.29.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
90.30.10,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.30.10 from any other subheading,,,0
90.30.20,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to cathode-ray oscilloscopes or cathode-ray oscillographs of subheading 90.30.20 from any other good within that subheading or any other subheading,A change to any other good of subheading 90.30.20 from any other subheading.,,0
90.30.31,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",A change to subheading 90.30.31 from any other subheading,,,0
